HGNC ID	Approved symbol	Approved name	Previous symbols	Alias symbols	Accession numbers	RefSeq IDs
HGNC:19837	ABHD12B	abhydrolase domain containing 12B	C14orf29	BEM46L3	BG698443	
HGNC:20293	ABHD13	abhydrolase domain containing 13	C13orf6	bA153I24.2, FLJ14906, BEM46L1	AK027812	NM_032859
HGNC:24538	ABHD14A	abhydrolase domain containing 14A		DKFZP564O243, DORZ1	AY358201	NM_015407
HGNC:38856	ABHD14A-ACY1	ABHD14A-ACY1 readthrough				
HGNC:28235	ABHD14B	abhydrolase domain containing 14B		MGC15429, CIB	AK075112	NM_032750
HGNC:26971	ABHD15	abhydrolase domain containing 15			AK056717	NM_198147
HGNC:49685	ABHD15-AS1	ABHD15 antisense RNA 1		linc-TP53I13, lnc-TP53I13	CN275323	
HGNC:13921	ABHD16A	abhydrolase domain containing 16A, phospholipase	BAT5	NG26, D6S82E	AF129756	
HGNC:16128	ABHD16B	abhydrolase domain containing 16B	C20orf135	dJ591C20.1		
HGNC:28756	ABHD17A	abhydrolase domain containing 17A, depalmitoylase	C19orf27, FAM108A1	MGC5244	BC020512	NM_031213
HGNC:28394	ABHD17AP1	ABHD17A pseudogene 1	FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P	C1orf47		NG_011738
HGNC:33538	ABHD17AP2	symbol withdrawn, see [HGNC:28394](/data/gene-symbol-report/#!/hgnc_id/HGNC:28394)	FAM108A3, FAM108A11P, FAM108A3P			
HGNC:34041	ABHD17AP3	ABHD17A pseudogene 3	FAM108A4, FAM108A4P			XR_041784
HGNC:34042	ABHD17AP4	ABHD17A pseudogene 4	FAM108A5, FAM108A5P			
HGNC:34043	ABHD17AP5	ABHD17A pseudogene 5	FAM108A6, FAM108A6P			
HGNC:34044	ABHD17AP6	ABHD17A pseudogene 6	FAM108A7P			
HGNC:38508	ABHD17AP7	ABHD17A pseudogene 7	FAM108A8P			
HGNC:38509	ABHD17AP8	ABHD17A pseudogene 8	FAM108A9P			
HGNC:38510	ABHD17AP9	ABHD17A pseudogene 9	FAM108A10P			
HGNC:24278	ABHD17B	abhydrolase domain containing 17B, depalmitoylase	C9orf77, FAM108B1	CGI-67	AF151825	NM_016014
HGNC:26925	ABHD17C	abhydrolase domain containing 17C, depalmitoylase	FAM108C1			NM_021214
HGNC:26111	ABHD18	abhydrolase domain containing 18	C4orf29	FLJ21106	AK024759	NM_001039717
HGNC:11320	ABI1	abl interactor 1	SSH3BP1	E3B1, ABI-1	U87166	NM_005470
HGNC:20035	ABI1P1	abl interactor 1 pseudogene 1	SSH3BP1P, ABI1P			NG_002531
HGNC:24011	ABI2	abl interactor 2		ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2	AF260261	NM_005759
HGNC:29859	ABI3	ABI family member 3		NESH, SSH3BP3	AB037886	NM_016428
HGNC:17265	ABI3BP	ABI family member 3 binding protein		NESHBP, DKFZP586L2024, TARSH	AB056106	
HGNC:1364	ABITRAM	actin binding transcription modulator	C9orf6, FAM206A	CG-8, FLJ20457, Simiate	BC015795	NM_017832
HGNC:39851	ABITRAMP1	ABITRAM pseudogene 1	FAM206BP			NG_011392
HGNC:76	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	ABL	JTK7, c-ABL, p150	M14752	NM_007313
HGNC:77	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	ABLL	ARG	M14904	NM_005158
HGNC:78	ABLIM1	actin binding LIM protein 1	LIMAB1, ABLIM	abLIM, limatin	AF005654	
HGNC:19195	ABLIM2	actin binding LIM protein family member 2		KIAA1808	AB058711	NM_001130083
HGNC:29132	ABLIM3	actin binding LIM protein family member 3		KIAA0843	AB020650	NM_014945
HGNC:79	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase		A3GALNT, A3GALT1	AF134415	NM_020469
HGNC:81	ABR	ABR activator of RhoGEF and GTPase		MDB	L19704	
HGNC:55674	ABR-AS1	ABR antisense RNA 1				
HGNC:30655	ABRA	actin binding Rho activating protein		STARS	AF503617	NM_139166
HGNC:21230	ABRACL	ABRA C-terminal like	C6orf115	PRO2013, HSPC280, Costars	BC014953	NM_021243
HGNC:25829	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	CCDC98, FAM175A	FLJ13614, ABRA1, ABRAXAS	AK023676	NM_139076
HGNC:56461	ABRAXAS1P1	ABRAXAS1 pseudogene 1				NG_025605
HGNC:56462	ABRAXAS1P2	ABRAXAS1 pseudogene 2				NG_022380
HGNC:28975	ABRAXAS2	abraxas 2, BRISC complex subunit	KIAA0157, FAM175B	Em:AC068896.4, ABRO1	D63877	NM_032182
HGNC:17369	ABT1	activator of basal transcription 1		Esf2	AB027258	
HGNC:39557	ABT1P1	activator of basal transcription 1 pseudogene 1				NG_025142
HGNC:18275	ABTB1	ankyrin repeat and BTB domain containing 1		BPOZ, EF1ABP, Btb3, BTBD21, BPOZ-2	AB053324	NM_172027
HGNC:23842	ABTB2	ankyrin repeat and BTB domain containing 2		DKFZP586C1619, BTBD22, ABTB2A	AK056863	NM_145804
HGNC:23844	ABTB3	ankyrin repeat and BTB domain containing 3	BTBD11	FLJ33957, ABTB2B	AK091276	NM_152322
HGNC:82	ACAA1	acetyl-CoA acyltransferase 1		Lnc-Myd88	X14813	NM_001607
HGNC:83	ACAA2	acetyl-CoA acyltransferase 2		DSAEC	D16294	NM_006111
HGNC:55880	ACAA2P1	ACAA2 pseudogene 1				
HGNC:84	ACACA	acetyl-CoA carboxylase alpha	ACAC, ACC	ACC1, ACC-alpha, ACCA, ACCalpha, ACACalpha, Acac1, hACC1	U19822	NM_198836
HGNC:85	ACACB	acetyl-CoA carboxylase beta		HACC275, ACC2, ACCB, ACC-beta, ACCbeta, ACACbeta	U89344	NM_001093
HGNC:86	ACAD	acyl-Coenzyme A dehydrogenase, multiple (chr X)				
HGNC:87	ACAD8	acyl-CoA dehydrogenase family member 8			AF126245	NM_014384
HGNC:21497	ACAD9	acyl-CoA dehydrogenase family member 9		NPD002, MGC14452	AF078854	NM_014049
HGNC:56086	ACAD9-DT	ACAD9 divergent transcript				
HGNC:21597	ACAD10	acyl-CoA dehydrogenase family member 10		MGC5601	AY323912	NM_025247
HGNC:30211	ACAD11	acyl-CoA dehydrogenase family member 11		FLJ12592	BC019607	NM_032169
HGNC:88	ACADL	acyl-CoA dehydrogenase long chain		LCAD, ACAD4	M74096	NM_001608
HGNC:89	ACADM	acyl-CoA dehydrogenase medium chain		MCAD, MCADH, ACAD1	M16827	
HGNC:90	ACADS	acyl-CoA dehydrogenase short chain		SCAD, ACAD3	M26393	NM_000017
HGNC:91	ACADSB	acyl-CoA dehydrogenase short/branched chain		SBCAD, ACAD7	U12778	NM_001609
HGNC:92	ACADVL	acyl-CoA dehydrogenase very long chain		VLCAD, LCACD, ACAD6	BC012912	NM_000018
HGNC:319	ACAN	aggrecan	MSK16, CSPG1, AGC1	CSPGCP	M55172	NM_001135
HGNC:16467	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	CENTB1	KIAA0050	D30758	NM_014716
HGNC:16469	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	CENTB2	KIAA0041, CNT-B2		NM_012287
HGNC:41426	ACAP2-IT1	ACAP2 intronic transcript 1				
HGNC:16754	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	CENTB5	KIAA1716	AF411981	NM_030649
HGNC:93	ACAT1	acetyl-CoA acetyltransferase 1	ACAT	THIL	D90228	NM_000019
HGNC:94	ACAT2	acetyl-CoA acetyltransferase 2			AF356877	NM_005891
HGNC:15453	ACBD3	acyl-CoA binding domain containing 3	GOLPH1, GOCAP1	GCP60, PAP7	AB043587	NM_022735
HGNC:40701	ACBD3-AS1	ACBD3 antisense RNA 1		RP11-275I14.4	AW511419	NR_146443
HGNC:23337	ACBD4	acyl-CoA binding domain containing 4		FLJ13322	BC029164	NM_024722
HGNC:23338	ACBD5	acyl-CoA binding domain containing 5		DKFZp434A2417, KIAA1996	AF505653	NM_145698
HGNC:23339	ACBD6	acyl-CoA binding domain containing 6		MGC2404	BC006505	NM_032360
HGNC:17715	ACBD7	acyl-CoA binding domain containing 7		FLJ38219, bA455B2.2	AK095538	
HGNC:96	ACBP	symbol withdrawn, see [HGNC:2313](/data/gene-symbol-report/#!/hgnc_id/HGNC:2313)				
HGNC:97	ACC	symbol withdrawn, see [HGNC:84](/data/gene-symbol-report/#!/hgnc_id/HGNC:84)				
HGNC:98	ACCN	symbol withdrawn, see [HGNC:99](/data/gene-symbol-report/#!/hgnc_id/HGNC:99)				
HGNC:14594	ACCPN	symbol withdrawn, see [HGNC:10914](/data/gene-symbol-report/#!/hgnc_id/HGNC:10914)				
HGNC:23989	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)		PHACS, ACS	AY026508	NM_032592
HGNC:34391	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like				NM_001031854
HGNC:56899	ACCSLP1	ACCSL pseudogene 1				NG_025783
HGNC:25070	ACD	ACD shelterin complex subunit and telomerase recruitment factor		Ptop, Pip1, Tpp1, Tint1	AF070535	NM_022914
HGNC:2707	ACE	angiotensin I converting enzyme	DCP1	ACE1, CD143	J04144	NM_000789
HGNC:13557	ACE2	angiotensin converting enzyme 2		ACEH	AF291820	
HGNC:56255	ACE2-DT	ACE2 divergent transcript		GS1-594A7.3		NR_126564
HGNC:44365	ACE3P	angiotensin I converting enzyme 3, pseudogene				
HGNC:18356	ACER1	alkaline ceramidase 1	ASAH3		AF347024	NM_133492
HGNC:23675	ACER2	alkaline ceramidase 2	ASAH3L	FLJ41587, ALKCDase2	AK123581	NM_001010887
HGNC:54674	ACER2P1	ACER2 pseudogene 1				NG_030142
HGNC:16066	ACER3	alkaline ceramidase 3	PHCA	FLJ11238, APHC	AF214454	NM_018367
HGNC:58067	ACER3-AS1	ACER antisense RNA 1				
HGNC:106	ACH	symbol withdrawn, see [HGNC:3690](/data/gene-symbol-report/#!/hgnc_id/HGNC:3690)				
HGNC:107	ACHAP	symbol withdrawn, see [HGNC:21101](/data/gene-symbol-report/#!/hgnc_id/HGNC:21101)				
HGNC:108	ACHE	acetylcholinesterase (Yt blood group)	YT			NM_015831
HGNC:109	ACHM1	symbol withdrawn, see [HGNC:2153](/data/gene-symbol-report/#!/hgnc_id/HGNC:2153)	RMCH			
HGNC:110	ACHM2	symbol withdrawn, see [HGNC:2150](/data/gene-symbol-report/#!/hgnc_id/HGNC:2150)				
HGNC:111	ACHM3	symbol withdrawn, see [HGNC:2153](/data/gene-symbol-report/#!/hgnc_id/HGNC:2153)				
HGNC:112	ACHRD	symbol withdrawn, see [HGNC:1965](/data/gene-symbol-report/#!/hgnc_id/HGNC:1965)				
HGNC:113	ACHRG	symbol withdrawn, see [HGNC:1967](/data/gene-symbol-report/#!/hgnc_id/HGNC:1967)				
HGNC:17066	ACIN1	apoptotic chromatin condensation inducer 1	ACINUS	KIAA0670, fSAP152	AB014570	NM_014977
HGNC:4035	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	FY, DARC	CCBP1, GPD, Dfy, CD234	U01839	NM_002036
HGNC:1565	ACKR2	atypical chemokine receptor 2	CMKBR9, CCBP2	CCR10, D6, CCR9	U94888	NM_001296
HGNC:23692	ACKR3	atypical chemokine receptor 3	CMKOR1, CXCR7	RDC1, GPR159	BC008459	NM_020311
HGNC:1611	ACKR4	atypical chemokine receptor 4	CCRL1	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1	AF110640	NM_016557
HGNC:21142	ACKR4P1	ACKR4 pseudogene 1	CCRL1P, CCRL1P1	dJ509I19.4		XM_208346
HGNC:114	ACLS	acrocallosal syndrome				
HGNC:115	ACLY	ATP citrate lyase		ATPCL, CLATP, ACL	X64330	NM_001096
HGNC:116	ACMG	acromegaly				
HGNC:19288	ACMSD	aminocarboxymuconate semialdehyde decarboxylase			AB071418	
HGNC:34504	ACNATP	acyl-CoA:amino acid N-acyltransferase, pseudogene	BAATP1			
HGNC:117	ACO1	aconitase 1	IREB1	IRP1, IREBP	M58510	NM_002197
HGNC:118	ACO2	aconitase 2		ACONM	AH006514	NM_001098
HGNC:56989	ACO2P1	ACO2 pseudogene 1				NG_022871
HGNC:56990	ACO2P2	ACO2 pseudogene 2				NG_029282
HGNC:33904	ACOD1	aconitate decarboxylase 1	IRG1	CAD		NM_001258406
